path,speaker,text
CDSD/ASR-TTS/01/S001F001P000W00003-在这个世界上.wav,01,在这个世界上
CDSD/ASR-TTS/01/S001F001P000W00005-花儿感谢小草.wav,01,花儿感谢小草
CDSD/ASR-TTS/01/S001F002P000W00010-锻炼强健的体魄.wav,01,锻炼强健的体魄
CDSD/ASR-TTS/01/S001F013P000W00050-乐观向上.wav,01,乐观向上
CDSD/ASR-TTS/01/S001F014P000W00011-使人有内涵.wav,01,使人有内涵
CDSD/ASR-TTS/01/S001F014P000W00039-在家的空余时间.wav,01,在家的空余时间
CDSD/ASR-TTS/01/S001F015P000W00018-月光星光灯光.wav,01,月光星光灯光
CDSD/ASR-TTS/01/S001F015P000W00019-宛如由银子砌成.wav,01,宛如由银子砌成
CDSD/ASR-TTS/01/S001F016P000W00001-我们所处的时代.wav,01,我们所处的时代
CDSD/ASR-TTS/01/S001F016P000W00017-和切身利益.wav,01,和切身利益
CDSD/ASR-TTS/06/S006F001P000W00009-我们的汗水.wav,06,我们的汗水
CDSD/ASR-TTS/06/S006F001P000W00012-手握着.wav,06,手握着
CDSD/ASR-TTS/06/S006F001P000W00030-怀疑的目光.wav,06,怀疑的目光
CDSD/ASR-TTS/06/S006F001P000W00083-我的愿望.wav,06,我的愿望
CDSD/ASR-TTS/06/S006F002P000W00049-可爱的同学.wav,06,可爱的同学
CDSD/ASR-TTS/06/S006F002P000W00060-胸前火焰般的.wav,06,胸前火焰般的
CDSD/ASR-TTS/06/S006F002P000W00096-的学习路.wav,06,的学习路
CDSD/ASR-TTS/06/S006F003P000W00006-但有一些人.wav,06,但有一些人
CDSD/ASR-TTS/06/S006F003P000W00075-我立即.wav,06,我立即
CDSD/ASR-TTS/06/S006F003P000W00078-扔进指定.wav,06,扔进指定
CDSD/ASR-TTS/15/S015F001P000W00072-日前.wav,15,日前
CDSD/ASR-TTS/15/S015F001P000W00086-被驳回供述与.wav,15,被驳回供述与
CDSD/ASR-TTS/15/S015F001P000W00087-鉴定相印证.wav,15,鉴定相印证
CDSD/ASR-TTS/15/S015F001P000W00105-抢劫.wav,15,抢劫
CDSD/ASR-TTS/15/S015F002P000W00087-楼市调控的.wav,15,楼市调控的
CDSD/ASR-TTS/15/S015F002P000W00122-国务院.wav,15,国务院
CDSD/ASR-TTS/15/S015F002P000W00127-邓郁松认为.wav,15,邓郁松认为
CDSD/ASR-TTS/15/S015F002P000W00162-主要有六项.wav,15,主要有六项
CDSD/ASR-TTS/15/S015F002P000W00175-七个地区城市开展.wav,15,七个地区城市开展
CDSD/ASR-TTS/15/S015F002P000W00183-和配额交易方案.wav,15,和配额交易方案
CDSD/ASR-TTS/16/S016F001P000W00039-成为该.wav,16,成为该
CDSD/ASR-TTS/16/S016F001P000W00046-二十一号.wav,16,二十一号
CDSD/ASR-TTS/16/S016F001P000W00097-巨大的市场利益.wav,16,巨大的市场利益
CDSD/ASR-TTS/16/S016F001P000W00104-监视听.wav,16,监视听
CDSD/ASR-TTS/16/S016F001P000W00182-治.wav,16,治
CDSD/ASR-TTS/16/S016F001P000W00198-全国统一的现状.wav,16,全国统一的现状
CDSD/ASR-TTS/16/S016F001P000W00209-等级.wav,16,等级
CDSD/ASR-TTS/16/S016F001P000W00243-重拳出击.wav,16,重拳出击
CDSD/ASR-TTS/16/S016F002P000W00024-芝加哥.wav,16,芝加哥
CDSD/ASR-TTS/16/S016F002P000W00046-私人财富管理.wav,16,私人财富管理
CDSD/ASR-TTS/18/S018F010P000W00169-我们是这样说的.wav,18,我们是这样说的
CDSD/ASR-TTS/18/S018F010P000W00208-绿草如茵.wav,18,绿草如茵
CDSD/ASR-TTS/18/S018F010P000W00218-做到以下几点.wav,18,做到以下几点
CDSD/ASR-TTS/18/S018F011P000W00027-在不断地破坏.wav,18,在不断地破坏
CDSD/ASR-TTS/18/S018F011P000W00075-垃圾箱里.wav,18,垃圾箱里
CDSD/ASR-TTS/18/S018F011P000W00082-我想塑料袋.wav,18,我想塑料袋
